2010-09-11 20:27:03 idle
2010-09-11 20:34:03 idle
2010-09-11 20:41:03 idle
2010-09-11 20:48:03 idle
2010-09-11 20:55:03 idle
2010-09-11 21:02:03 idle
2010-09-11 21:09:03 idle
2010-09-11 21:16:03 idle
2010-09-11 21:23:03 idle
2010-09-11 21:30:03 idle
2010-09-11 21:37:03 idle
2010-09-11 21:44:03 idle
2010-09-11 21:51:03 idle
2010-09-11 21:58:03 idle
2010-09-11 22:05:03 idle
2010-09-11 22:12:03 idle
2010-09-11 22:19:03 idle
2010-09-11 22:26:03 idle
2010-09-11 22:33:03 idle
2010-09-11 22:40:03 idle
2010-09-11 22:47:03 idle
2010-09-11 22:54:03 idle
2010-09-11 23:01:03 idle
2010-09-11 23:08:03 idle
2010-09-11 23:15:03 idle
2010-09-11 23:22:03 idle
2010-09-11 23:29:03 idle
2010-09-11 23:36:03 idle
2010-09-11 23:43:03 idle
2010-09-12 04:37:03 OBS: ID17811 (E12635 T039; prob: 0.00315750; ra: 92.4000; dec: 0.0000; p: 2.11021475290)
2010-09-12 04:44:03 OBS: ID17865 (E12635 T093; prob: 0.00024480; ra: 86.1579; dec: 2.1000; p: 2.11021309786)
2010-09-12 04:51:03 OBS: ID17807 (E12635 T035; prob: 0.00035510; ra: 88.7359; dec: 6.3000; p: 2.11020879721)
2010-09-12 04:58:03 OBS: ID17813 (E12635 T041; prob: 0.00299920; ra: 94.5635; dec: -2.1000; p: 2.11020886744)
2010-09-12 05:05:03 OBS: ID17815 (E12635 T043; prob: 0.00397160; ra: 96.8601; dec: -4.2000; p: 2.11020625774)
2010-09-12 05:12:03 OBS: ID17812 (E12635 T040; prob: 0.00214910; ra: 94.5000; dec: 0.0000; p: 2.11020120502)
2010-09-12 05:19:03 OBS: ID17866 (E12635 T094; prob: 0.00012140; ra: 90.8486; dec: 6.3000; p: 2.11019927663)
2010-09-12 05:26:03 OBS: ID17816 (E12635 T044; prob: 0.00378790; ra: 97.1869; dec: -6.3000; p: 2.11019488615)
2010-09-12 05:33:03 idle
2010-09-12 05:40:03 idle
2010-09-12 05:47:03 idle
