2010-08-22 20:52:10 idle
2010-08-22 20:59:10 idle
2010-08-22 21:06:10 idle
2010-08-23 01:46:10 OBS: ID17188 (E10184 T016; prob: 0.00644900; ra: 18.5026; dec: 63.0000; p: 2.11016381802)
2010-08-23 01:53:10 OBS: ID17209 (E10184 T037; prob: 0.00125980; ra: 358.0180; dec: 46.2000; p: 2.11016306322)
2010-08-23 02:00:10 OBS: ID17235 (E10184 T063; prob: 0.00036410; ra: 356.1330; dec: 37.8000; p: 2.11016183403)
2010-08-23 02:07:10 OBS: ID17240 (E10184 T068; prob: 0.00029470; ra: 350.9130; dec: 44.1000; p: 2.11016241688)
2010-08-23 02:14:10 OBS: ID17262 (E10184 T090; prob: 0.00017060; ra: 0.0000; dec: 44.1000; p: 2.11016907315)
2010-08-23 02:21:10 OBS: ID17200 (E10184 T028; prob: 0.00184060; ra: 10.3489; dec: 52.5000; p: 2.11017002644)
2010-08-23 02:28:10 OBS: ID17197 (E10184 T025; prob: 0.00289780; ra: 15.2999; dec: 56.7000; p: 2.11016948628)
2010-08-23 02:35:10 OBS: ID17217 (E10184 T045; prob: 0.00075600; ra: 6.3136; dec: 48.3000; p: 2.11016852808)
2010-08-23 02:42:10 OBS: ID17236 (E10184 T064; prob: 0.00035610; ra: 359.1020; dec: 50.4000; p: 2.11016854858)
2010-08-23 02:49:10 OBS: ID17186 (E10184 T014; prob: 0.00826760; ra: 35.6461; dec: 69.3000; p: 2.11016972269)
2010-08-23 02:56:10 OBS: ID17255 (E10184 T083; prob: 0.00022190; ra: 0.0000; dec: 54.6000; p: 2.11017450457)
2010-08-23 03:03:10 OBS: ID17241 (E10184 T069; prob: 0.00027280; ra: 8.6360; dec: 60.9000; p: 2.11019099204)
2010-08-23 03:10:10 OBS: ID17216 (E10184 T044; prob: 0.00088700; ra: 21.5900; dec: 60.9000; p: 2.11019406560)
2010-08-23 03:17:10 OBS: ID17194 (E10184 T022; prob: 0.00318040; ra: 27.0957; dec: 67.2000; p: 2.11019360503)
2010-08-23 03:24:10 OBS: ID17265 (E10184 T093; prob: 0.00011420; ra: 20.2692; dec: 58.8000; p: 2.11019287280)
2010-08-23 03:31:10 OBS: ID17223 (E10184 T051; prob: 0.00058830; ra: 14.9631; dec: 65.1000; p: 2.11019897981)
2010-08-23 03:38:10 OBS: ID17242 (E10184 T070; prob: 0.00022500; ra: 29.9262; dec: 65.1000; p: 2.11021338765)
2010-08-23 03:45:10 OBS: ID17214 (E10184 T042; prob: 0.00095170; ra: 37.9340; dec: 67.2000; p: 2.11021975911)
2010-08-23 03:52:10 OBS: ID17267 (E10184 T095; prob: 0.00010280; ra: 23.7641; dec: 69.3000; p: 2.11022375151)
2010-08-23 03:59:10 OBS: ID17224 (E10184 T052; prob: 0.00058240; ra: 47.5281; dec: 69.3000; p: 2.11023968510)
2010-08-23 04:06:10 OBS: ID17215 (E10184 T043; prob: 0.00093780; ra: 59.4102; dec: 69.3000; p: 2.11024890487)
2010-08-23 04:13:10 OBS: ID17190 (E10184 T018; prob: 0.00541710; ra: 46.0874; dec: 71.4000; p: 2.11028858205)
2010-08-23 04:20:10 OBS: ID17193 (E10184 T021; prob: 0.00383050; ra: 59.1517; dec: 73.5000; p: 2.11031524992)
2010-08-23 04:27:10 OBS: ID17230 (E10184 T058; prob: 0.00041520; ra: 32.9196; dec: 71.4000; p: 2.11033306282)
2010-08-23 04:34:10 OBS: ID17198 (E10184 T026; prob: 0.00284810; ra: 73.9397; dec: 73.5000; p: 2.11033379650)
2010-08-23 04:41:10 OBS: ID17258 (E10184 T086; prob: 0.00019300; ra: 44.3638; dec: 73.5000; p: 2.11034203132)
2010-08-23 04:48:10 OBS: ID17228 (E10184 T056; prob: 0.00048610; ra: 72.4230; dec: 71.4000; p: 2.11034932941)
2010-08-23 04:55:10 OBS: ID17201 (E10184 T029; prob: 0.00178040; ra: 88.7276; dec: 73.5000; p: 2.11035403514)
2010-08-23 05:02:10 OBS: ID17263 (E10184 T091; prob: 0.00020920; ra: 79.0069; dec: 71.4000; p: 2.11035478434)
2010-08-23 05:09:10 OBS: ID17225 (E10184 T053; prob: 0.00051940; ra: 92.1748; dec: 71.4000; p: 2.11036376849)
2010-08-23 05:16:10 idle
2010-08-23 05:23:10 idle
2010-08-23 05:30:10 idle
